filename,style,texture,brand,occasion,material,fit,body_shape
"anarkali suit with a long, olive green kurta adorned with intricate embroidery around the neckline and cuffs, paired with matching fitted trousers.jpg",Other,Plaid,H&M,Party,Cotton,Tight clothes,Inverted Triangle
Anarkali suit with a modern twist.jpg,Other,Plaid,Adidas,Party,Synthetics,Tight clothes,Pear
Anarkali suit with fitted bodice with a high neckline.jpg,Other,Stripes,Adidas,Party,Cotton,Loose fitting,Hourglass
"anarkali suit with intricate silver embellishments on the neckline, sleeves.jpg",Casual,Plaid,Zara,Work,Cotton,Loose fitting,Inverted Triangle
anarkali suit with lavender in color with intricate white patterns throughout the fabric.jpg,Casual,Plaid,Adidas,Formal Event,Leather,Tight clothes,Hourglass
"anarkali suit. It consists of a turquoise skirt with detailed golden embroidery, a multicolored blouse with floral patterns, and an orange dupatta with lace borders.jpg",Streetwear,Plain,Unknown,Party,Linen,Tight clothes,Hourglass
"ark green, knee-length dress with short sleeves and a white, patterned neckline.jpg",Casual,Stripes,Unknown,Other,Cotton,Tight clothes,Pear
beige top adorned with black dots and a green skirt.jpg,Formal,Stripes,Adidas,Formal Event,Cotton,Loose fitting,Rectangle
black and white gingham checkered A-line dress with a flared skirt.jpg,Other,Plain,Adidas,Work,Linen,Loose fitting,Pear
"black double-breasted blazer with gold buttons, paired with a mid-length skirt.jpg",Formal,Plain,H&M,Party,Linen,Tight clothes,Rectangle
black dress with lace detailing.jpg,Formal,Stripes,Unknown,Other,Leather,Tight clothes,Hourglass
black dress with sparkling details.jpg,Streetwear,Other,Uniqlo,Work,Cotton,Tight clothes,Inverted Triangle
black floral saree.jpg,Other,Other,Uniqlo,Work,Cotton,Loose fitting,Inverted Triangle
black jumpsuit with a diagonal stripe of glittering material running across the body.jpg,Streetwear,Other,Nike,Work,Linen,Tight clothes,Hourglass
black lace bustier top paired with high-waisted black trousers.jpg,Casual,Plain,Adidas,Party,Leather,Tight clothes,Pear
black off-shoulder dress with belt.jpg,Casual,Stripes,Zara,Other,Linen,Tight clothes,Pear
black top with spaghetti straps and a black skirt adorned with a fringe detail at the hem.jpg,Formal,Other,Uniqlo,Formal Event,Cotton,Tight clothes,Hourglass
"black top, white trousers.jpg",Casual,Other,Nike,Work,Synthetics,Tight clothes,Pear
"black, sequined dress with thin shoulder straps.jpg",Streetwear,Plain,H&M,Work,Leather,Loose fitting,Inverted Triangle
blue dress with a floral pattern.jpg,Formal,Plain,Adidas,Other,Leather,Loose fitting,Hourglass
bright red kurta with an intricate patterned design.jpg,Other,Stripes,Zara,Other,Leather,Loose fitting,Hourglass
"bright red, form-fitting, strapless dress with a high slit on one side revealing part of the leg.jpg",Streetwear,Other,Unknown,Party,Synthetics,Tight clothes,Inverted Triangle
"bright red, sequined dress with thin shoulder straps.jpg",Formal,Other,Unknown,Formal Event,Leather,Loose fitting,Hourglass
burgundy off-the-shoulder dress with an asymmetrical hemline.jpg,Streetwear,Plain,Adidas,Party,Cotton,Tight clothes,Hourglass
"burnt orange long-sleeve top, a plaid skirt with brown tones, and a matching burnt orange beret.jpeg",Casual,Plain,Unknown,Party,Synthetics,Loose fitting,Hourglass
chic and elegant outfit consisting of a pair of high-waisted wide-leg trousers paired with a long-sleeve sheer lace top.jpg,Casual,Stripes,Zara,Work,Linen,Tight clothes,Hourglass
classic black slip dress with a midi length.jpg,Streetwear,Other,Uniqlo,Work,Cotton,Tight clothes,Hourglass
colorful saree.jpg,Formal,Other,Zara,Party,Leather,Loose fitting,Rectangle
"cream-colored, long, open-front coat with wide lapels.jpg",Formal,Other,Uniqlo,Work,Leather,Tight clothes,Rectangle
"dark blue, knee-length dress with thin straps.jpg",Casual,Plaid,Unknown,Formal Event,Leather,Loose fitting,Hourglass
"dark, elegant, sleeveless dress that reaches down to about mid-calf.jpg",Other,Plain,Zara,Formal Event,Leather,Loose fitting,Inverted Triangle
"deep burgundy, silky dress with long sleeves and a wrap-style front.jpg",Formal,Other,Adidas,Formal Event,Cotton,Tight clothes,Inverted Triangle
dress with a classic black and white houndstooth pattern.jpg,Casual,Stripes,H&M,Formal Event,Leather,Loose fitting,Hourglass
fitted black dress that reaches down to mid-calf.jpg,Formal,Stripes,Nike,Work,Leather,Loose fitting,Rectangle
"fitted, cream-colored dress with long sheer sleeves.jpg",Streetwear,Plain,Nike,Party,Synthetics,Loose fitting,Hourglass
"fitted, off-the-shoulder white dress with horizontal ribbed texture.jpg",Formal,Other,Zara,Other,Cotton,Tight clothes,Inverted Triangle
"fitted, ruched dress with a sweetheart neckline and long mesh sleeves.jpg",Formal,Plaid,Nike,Other,Synthetics,Loose fitting,Hourglass
"fitted, short, yellow dress with short sleeves.jpeg",Other,Plaid,Unknown,Other,Linen,Tight clothes,Pear
floral dress with long sleeves.jpeg,Streetwear,Plain,Adidas,Other,Cotton,Tight clothes,Pear
flowing green off-shoulder dress.jpg,Streetwear,Plain,Unknown,Work,Synthetics,Tight clothes,Inverted Triangle
"fluffy, possibly faux fur or eyelash knit sweater with a cropped cut top.jpg",Casual,Stripes,Adidas,Party,Leather,Loose fitting,Hourglass
"form-fitting dress with a vibrant pattern of yellow, blue, and black.jpg",Casual,Other,H&M,Formal Event,Leather,Tight clothes,Rectangle
glamorous two-piece outfit featuring a sequined design.jpeg,Streetwear,Other,H&M,Party,Synthetics,Loose fitting,Rectangle
"green dress with a floral pattern, paired with matching green trousers.jpg",Casual,Other,Uniqlo,Formal Event,Synthetics,Loose fitting,Inverted Triangle
"high-waisted white trousers paired with a structured, corset-style bodice featuring mesh.jpg",Streetwear,Other,H&M,Other,Leather,Tight clothes,Inverted Triangle
l-htdrss7133-honky-tonky-original-imagszfhfghhs2rp.jpeg,Casual,Plain,Adidas,Party,Leather,Loose fitting,Inverted Triangle
ladies-party-wear-cotton-short-dress-full.jpg,Streetwear,Stripes,Adidas,Party,Leather,Loose fitting,Rectangle
"light blue, sequined dress with a V-neckline, long sleeves.jpg",Casual,Stripes,Uniqlo,Work,Cotton,Loose fitting,Inverted Triangle
light brown sleeveless double-breasted blazer paired with matching straight-leg trousers.jpg,Streetwear,Plain,Unknown,Formal Event,Leather,Tight clothes,Pear
"light green, short dress with lace detailing around the waist and the edges of the sleeves and hem.jpg",Formal,Plaid,H&M,Formal Event,Cotton,Loose fitting,Pear
"long, elegant blue dress with an off-the-shoulder design with sheer sleeves.jpg",Other,Plaid,H&M,Formal Event,Synthetics,Loose fitting,Pear
"long, elegant, teal dress with a high slit on one side.jpg",Formal,Plain,Uniqlo,Formal Event,Synthetics,Tight clothes,Inverted Triangle
"long, flowing dress with a full skirt.jpg",Streetwear,Other,Unknown,Other,Synthetics,Tight clothes,Pear
"long, flowing, pink dress with a sparkly texture.jpg",Streetwear,Stripes,H&M,Other,Synthetics,Tight clothes,Rectangle
"long, intricately designed dress with full sleeves.jpg",Other,Other,Nike,Other,Synthetics,Tight clothes,Rectangle
metallic-looking jacket with intricate designs and fringes hanging from the sleeves.jpg,Other,Other,Unknown,Formal Event,Cotton,Loose fitting,Hourglass
off-the-shoulder black ball gown.jpg,Formal,Other,Zara,Work,Cotton,Loose fitting,Pear
"one-shoulder, black, sequined dress with fringe detailing at the hem.jpg",Streetwear,Other,Zara,Formal Event,Leather,Tight clothes,Rectangle
"one-shoulder, fitted dress that features sequin embellishments and sheer panels.jpg",Other,Other,H&M,Formal Event,Linen,Loose fitting,Rectangle
"pink, knee-length dress that sparkles.jpg",Formal,Plain,Uniqlo,Other,Leather,Tight clothes,Inverted Triangle
red dress adorned with an intricate white pattern.jpg,Formal,Other,Unknown,Work,Synthetics,Tight clothes,Rectangle
red dress with a pattern of small white flowers.jpg,Other,Stripes,Nike,Other,Linen,Tight clothes,Hourglass
red velvet sheath midi dress.jpg,Formal,Plaid,Uniqlo,Formal Event,Cotton,Tight clothes,Rectangle
royal blue off-shoulder dress.jpg,Streetwear,Plaid,Adidas,Party,Synthetics,Tight clothes,Inverted Triangle
salwar kameez in a vibrant red color with detailed embroidery.jpg,Casual,Stripes,Unknown,Formal Event,Synthetics,Tight clothes,Inverted Triangle
shiny purple sequined dress with a one-shoulder design.jpg,Other,Other,Zara,Formal Event,Linen,Tight clothes,Rectangle
"shiny, silver, wrap-style dress with long sleeves.jpg",Streetwear,Other,Adidas,Party,Leather,Loose fitting,Pear
"short, blue floral dress with long puffed sleeves.jpg",Casual,Plaid,Unknown,Formal Event,Synthetics,Loose fitting,Inverted Triangle
"short, white, sleeveless dress with thin straps.jpg",Streetwear,Stripes,H&M,Work,Leather,Tight clothes,Inverted Triangle
sleeveless dress adorned with pink sequins.jpg,Formal,Plaid,Uniqlo,Work,Synthetics,Loose fitting,Hourglass
sleeveless dress with a high neckline.jpeg,Other,Stripes,Adidas,Other,Linen,Tight clothes,Pear
solid dark blue top and a floral pattern on the bottom.jpg,Streetwear,Stripes,Zara,Party,Synthetics,Tight clothes,Inverted Triangle
sophisticated black dress with an asymmetrical design with one sleeve and a strapless neckline on the opposite side.jpg,Other,Plaid,Unknown,Other,Linen,Tight clothes,Pear
sparkling black dress.jpg,Other,Plain,Zara,Other,Leather,Tight clothes,Rectangle
sparkling blue dress.jpeg,Casual,Other,Adidas,Other,Cotton,Tight clothes,Hourglass
sparkling white dress with long sleeves.jpg,Formal,Other,Adidas,Formal Event,Cotton,Loose fitting,Hourglass
"sparkling, fitted dress 2.jpeg",Streetwear,Other,Adidas,Work,Synthetics,Tight clothes,Rectangle
"sparkling, fitted dress with long sleeves.jpg",Casual,Stripes,H&M,Formal Event,Synthetics,Tight clothes,Pear
"sparkling, fitted dress.jpeg",Other,Plaid,Nike,Other,Cotton,Tight clothes,Pear
"sparkling, sequined dress.jpg",Other,Stripes,H&M,Work,Synthetics,Tight clothes,Rectangle
strapless red midi dress with a mermaid silhouette.jpg,Formal,Plain,H&M,Other,Leather,Loose fitting,Inverted Triangle
"strapless, sequined dress that sparkles with multiple colors.jpg",Other,Other,Unknown,Other,Linen,Tight clothes,Inverted Triangle
